loss,mae,val_loss,val_mae,learning_rate
0.017479049041867256,0.08623626828193665,0.004793346859514713,0.05103331804275513,0.0010000000474974513
0.0027129855006933212,0.03660309687256813,0.002803283976390958,0.03662727773189545,0.0010000000474974513
0.0018751148600131273,0.02835153415799141,0.0034044706262648106,0.039798762649297714,0.0010000000474974513
0.001590266590937972,0.025166241452097893,0.0024341538082808256,0.0327070951461792,0.0010000000474974513
0.0014677607687190175,0.023433959111571312,0.0022306751925498247,0.030189966782927513,0.0010000000474974513
0.0013642999110743403,0.02232135646045208,0.0023112690541893244,0.031099706888198853,0.0010000000474974513
0.0013107518898323178,0.02186276949942112,0.002102134982123971,0.029109828174114227,0.0010000000474974513
0.001281126867979765,0.02135973796248436,0.002055899240076542,0.028695123270154,0.0010000000474974513
0.0012433133088052273,0.021080899983644485,0.001673549646511674,0.025212159380316734,0.0010000000474974513
0.0012126181973144412,0.020721282809972763,0.0017473954940214753,0.025944042950868607,0.0010000000474974513
0.0011898106895387173,0.020448187366127968,0.001980381552129984,0.02757919579744339,0.0010000000474974513
0.0011795187601819634,0.0203427504748106,0.0018736148485913873,0.02632284164428711,0.0010000000474974513
0.0011714097345247865,0.02022523060441017,0.0017010373994708061,0.025529606267809868,0.0010000000474974513
0.0011222476605325937,0.019616901874542236,0.0015709259314462543,0.023697301745414734,0.0005000000237487257
0.0011261330218985677,0.01968466117978096,0.0015348248416557908,0.023726703599095345,0.0005000000237487257
0.0011144907912239432,0.01957540772855282,0.0014849709114059806,0.023268889635801315,0.0005000000237487257
0.0010962963569909334,0.019328296184539795,0.001630741753615439,0.023928683251142502,0.0005000000237487257
0.001100274152122438,0.019392259418964386,0.0015466635813936591,0.023670649155974388,0.0005000000237487257
0.0010705420281738043,0.01906350813806057,0.001451607677154243,0.02279561385512352,0.0002500000118743628
0.0010701544815674424,0.018958119675517082,0.001495902892202139,0.02320646494626999,0.0002500000118743628
0.001071119331754744,0.019036320969462395,0.0015158104943111539,0.023307833820581436,0.0002500000118743628
0.0010622234549373388,0.01892249472439289,0.0014807404950261116,0.023178506642580032,0.0002500000118743628
0.0010589822195470333,0.018896659836173058,0.001487442757934332,0.023211652413010597,0.0002500000118743628
0.0010511158034205437,0.018748804926872253,0.0014623228926211596,0.022957414388656616,0.0001250000059371814
0.0010394591372460127,0.01861746422946453,0.0015074126422405243,0.02328364923596382,0.0001250000059371814
0.0010439003817737103,0.018692340701818466,0.0014570350758731365,0.022854655981063843,0.0001250000059371814
0.0010395337594673038,0.018620524555444717,0.0014705726644024253,0.023065859451889992,0.0001250000059371814
0.0010430754628032446,0.018627896904945374,0.0014947628369554877,0.02310323342680931,6.25000029685907e-05
0.001031862455420196,0.01857144944369793,0.001436671707779169,0.022785808891057968,6.25000029685907e-05
0.0010454580187797546,0.01863262802362442,0.0014537002425640821,0.02288239821791649,6.25000029685907e-05
0.0010230056941509247,0.018442302942276,0.0014390735886991024,0.022725697606801987,6.25000029685907e-05
0.001028408296406269,0.018504487350583076,0.0014368464471772313,0.022766029462218285,3.125000148429535e-05
0.001020602649077773,0.018411831930279732,0.0014496633084490895,0.02280944027006626,3.125000148429535e-05
0.001027632155455649,0.018458029255270958,0.001443661516532302,0.022770481184124947,3.125000148429535e-05
0.0010253990767523646,0.018428601324558258,0.0014275034191086888,0.022709859535098076,3.125000148429535e-05
0.0010234335204586387,0.018423624336719513,0.00143119553104043,0.02265673503279686,1.5625000742147677e-05
0.0010213286150246859,0.018364200368523598,0.0014558639377355576,0.02279355190694332,1.5625000742147677e-05
0.00102157611399889,0.0183870866894722,0.0014489993918687105,0.022799737751483917,1.5625000742147677e-05
0.001032660249620676,0.01851378008723259,0.0014424119144678116,0.022723747417330742,1.5625000742147677e-05
0.0010191940236836672,0.018340863287448883,0.0014395363396033645,0.022698599845170975,7.812500371073838e-06
0.0010176830692216754,0.018382126465439796,0.0014358654152601957,0.02273629792034626,7.812500371073838e-06
0.0010268592741340399,0.018452299758791924,0.0014435630291700363,0.022734055295586586,7.812500371073838e-06
0.0010226562153548002,0.018416384235024452,0.0014382445951923728,0.022721411660313606,7.812500371073838e-06
0.0010313033126294613,0.018474288284778595,0.0014362088404595852,0.022688837721943855,3.906250185536919e-06
0.0010257735848426819,0.018472759053111076,0.0014339647023007274,0.022687260061502457,3.906250185536919e-06
