lookback,MAE_1d,MAE_3d,MAE_7d,n_train,n_test
7,0.15808284272571455,0.2368380109457094,0.31737705313515857,16010,1945
14,0.1551476108476286,0.2360446913859451,0.31957453826069837,15975,1910
30,0.16052229337557108,0.23850946401572634,0.3165448560251403,15895,1830
60,0.1551551381117177,0.22921550816865202,0.2960060086594452,15745,1680
90,0.15981660753001586,0.2321418133847465,0.29821532209480517,15595,1530
