horizon_days,model,sst_mae,sst_rmse,skill_vs_persistence,n
1,persistence,0.15630952290126254,0.2093888536147989,0.0,1680
1,ann_lstm,0.15362937069843924,0.20411973345331588,0.0171464422197507,1680
1,cnn_ann_lstm,0.1611165141406514,0.2118029816550707,-0.030753028671358207,1680
1,forecast_head_6in,0.2015175915779103,0.25477927239931986,-0.2892214616073312,1680
1,pinn_bias,0.20929255531216356,0.27057018595677096,-0.3389622809121444,1680
3,persistence,0.2396666856039138,0.3093358870356581,0.0,1680
3,ann_lstm,0.2280810553953052,0.2926317485317521,0.04834059510363331,1680
3,cnn_ann_lstm,0.23585680501500067,0.3008177171859545,0.015896579782513243,1680
3,forecast_head_6in,0.2840579777946253,0.3542344689610585,-0.18522095417164075,1680
3,pinn_bias,0.2600405742097266,0.3322418856731112,-0.0850092642391016,1680
7,persistence,0.3197797797975086,0.40412215271193214,0.0,1680
7,ann_lstm,0.29387242320055773,0.3713649786359178,0.08101624378300576,1680
7,cnn_ann_lstm,0.3049278924580488,0.3841076372853615,0.046444110221304014,1680
7,forecast_head_6in,0.3641056339383306,0.4529953861316815,-0.13861368648414896,1680
7,pinn_bias,0.328415919819606,0.41599164676357686,-0.02700652313778562,1680
