model,MAE_1d,MAE_3d,MAE_7d
ann_lstm,0.15362937069843924,0.2280810553953052,0.29387242320055773
cnn_ann_lstm,0.1611165141406514,0.23585680501500067,0.3049278924580488
persistence,0.15630952290126254,0.2396666856039138,0.3197797797975086
pinn_bias,0.20929255531216356,0.2600405742097266,0.328415919819606
forecast_head_6in,0.2015175915779103,0.2840579777946253,0.3641056339383306
