loss,mae,val_loss,val_mae,learning_rate
0.016791587695479393,0.08434254676103592,0.004166808445006609,0.04657498002052307,0.0010000000474974513
0.0028100265190005302,0.036528803408145905,0.005036707501858473,0.04768466204404831,0.0010000000474974513
0.0019460059702396393,0.028216492384672165,0.003732087556272745,0.03983074426651001,0.0010000000474974513
0.001652681501582265,0.02505514770746231,0.0024708055425435305,0.031290605664253235,0.0010000000474974513
0.0015119430609047413,0.023517349734902382,0.00259121204726398,0.03224926069378853,0.0010000000474974513
0.0014750976115465164,0.02297217957675457,0.00304926629178226,0.03569960966706276,0.0010000000474974513
0.00138188642449677,0.022111138328909874,0.002088929060846567,0.027553170919418335,0.0010000000474974513
0.001368861529044807,0.02185886539518833,0.002926797606050968,0.03534133359789848,0.0010000000474974513
0.0013683055294677615,0.021818842738866806,0.0022479062899947166,0.029204215854406357,0.0010000000474974513
0.001322949188761413,0.02136625349521637,0.0021220222115516663,0.02934351935982704,0.0010000000474974513
0.0013012258568778634,0.021198932081460953,0.0019666908774524927,0.02776123210787773,0.0010000000474974513
0.0012721264502033591,0.020939823240041733,0.0021277794148772955,0.028155235573649406,0.0010000000474974513
0.0012548088561743498,0.020732559263706207,0.0020675170235335827,0.028883686289191246,0.0010000000474974513
0.001254831557162106,0.02076937071979046,0.0022940372582525015,0.029262138530611992,0.0010000000474974513
0.0012053590035066009,0.020210811868309975,0.0017554658697918057,0.025437399744987488,0.0010000000474974513
0.0011849645525217056,0.020112652331590652,0.0021272972226142883,0.02836717665195465,0.0010000000474974513
0.001193611416965723,0.020108040422201157,0.0028376991394907236,0.029494525864720345,0.0010000000474974513
0.0011546447640284896,0.019798599183559418,0.0015490847872570157,0.023639697581529617,0.0010000000474974513
0.0011617307318374515,0.01988602802157402,0.002046116627752781,0.026315661147236824,0.0010000000474974513
0.0011382420780137181,0.019631261005997658,0.0016240974655374885,0.02501910738646984,0.0010000000474974513
0.0011784291127696633,0.019982825964689255,0.0018214368028566241,0.026028044521808624,0.0010000000474974513
0.0011420095106586814,0.01960318721830845,0.0023322496563196182,0.02719188667833805,0.0010000000474974513
0.0011398320784792304,0.01961640641093254,0.0016223902348428965,0.024504883214831352,0.0010000000474974513
0.00109471520408988,0.01911512203514576,0.0016154282493516803,0.023520438000559807,0.0005000000237487257
0.0010752568487077951,0.018965905532240868,0.001315944129601121,0.021970389410853386,0.0005000000237487257
0.0010878799948841333,0.01903822086751461,0.001336520304903388,0.02226943150162697,0.0005000000237487257
0.001079264678992331,0.018937133252620697,0.0014770678244531155,0.022853273898363113,0.0005000000237487257
0.0010842930059880018,0.018991000950336456,0.0012809770414605737,0.021570777520537376,0.0005000000237487257
0.001062254304997623,0.018797729164361954,0.0013406232465058565,0.02205849625170231,0.0005000000237487257
0.0010832803091034293,0.018952274695038795,0.0014172657392919064,0.022856783121824265,0.0005000000237487257
0.0010554681066423655,0.01867658644914627,0.001556085073389113,0.023224366828799248,0.0002500000118743628
0.0010482759680598974,0.018604615703225136,0.0013507968978956342,0.022171122953295708,0.0002500000118743628
0.0010423064231872559,0.01860032230615616,0.0013235618826001883,0.022021176293492317,0.0002500000118743628
0.0010477403411641717,0.01861606538295746,0.0013242356944829226,0.021977059543132782,0.0002500000118743628
0.001047193887643516,0.018611211329698563,0.0013128940481692553,0.021891487762331963,0.0002500000118743628
0.0010339682921767235,0.018470395356416702,0.0013490431010723114,0.02209939993917942,0.0001250000059371814
0.0010356311686336994,0.01842176541686058,0.0013478327309712768,0.02205449901521206,0.0001250000059371814
0.0010257975663989782,0.01838218793272972,0.001397942309267819,0.02246735617518425,0.0001250000059371814
0.0010340692242607474,0.01844710297882557,0.0014154891250655055,0.022431770339608192,0.0001250000059371814
0.0010295469546690583,0.01841099187731743,0.001357121393084526,0.022444846108555794,0.0001250000059371814
